timestamp,actual_q,actual_qd,target_qd_acceleration
1716711050.9665134,"[-2.620075527821676, -2.9100378195392054, -0.0799482504474085, -2.93305474916567, 0.5299491882324219, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.9817681,"[-2.6200993696795862, -2.910025421773092, -0.08000833192934209, -2.93303090730776, 0.5299375653266907, 1.1698895692825317]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711050.99788,"[-2.6201112906085413, -2.910025421773092, -0.07999641100038701, -2.93303090730776, 0.5299491882324219, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.0137148,"[-2.6200993696795862, -2.910025421773092, -0.07991248766054326, -2.933018986378805, 0.5299375653266907, 1.1699857711791992]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.0298438,"[-2.6200993696795862, -2.910025421773092, -0.07996064821352178, -2.933018986378805, 0.5299491882324219, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.0457485,"[-2.620087448750631, -2.910025421773092, -0.07997256914247686, -2.933042828236715, 0.5299851298332214, 1.1699259281158447]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.0616667,"[-2.6200993696795862, -2.910001579915182, -0.07992440858949834, -2.933042828236715, 0.5299491882324219, 1.1699259281158447]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.0770838,"[-2.6201234499560755, -2.910025421773092, -0.07993632951845342, -2.93303090730776, 0.5299491882324219, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.092774,"[-2.6200993696795862, -2.910013500844137, -0.07996064821352178, -2.93303090730776, 0.5299255847930908, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.10844,"[-2.620075527821676, -2.910025421773092, -0.0799482504474085, -2.93303090730776, 0.5299611687660217, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.1242127,"[-2.620075527821676, -2.910001579915182, -0.0799482504474085, -2.933018986378805, 0.5299971103668213, 1.1699857711791992]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.139535,"[-2.6201234499560755, -2.910025421773092, -0.07996064821352178, -2.9330666700946253, 0.5299851298332214, 1.1699857711791992]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.1555533,"[-2.620075527821676, -2.9100378195392054, -0.07997256914247686, -2.93303090730776, 0.5299851298332214, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.171632,"[-2.620087448750631, -2.9100616613971155, -0.07998449007143194, -2.93303090730776, 0.5299731492996216, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.1876192,"[-2.6201112906085413, -2.910013500844137, -0.07998449007143194, -2.93303090730776, 0.5299851298332214, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.203677,"[-2.620075527821676, -2.910001579915182, -0.07996064821352178, -2.933042828236715, 0.5299611687660217, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.2192206,"[-2.6201112906085413, -2.910001579915182, -0.07997256914247686, -2.933042828236715, 0.5299611687660217, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.2352366,"[-2.620075527821676, -2.910001579915182, -0.0799482504474085, -2.93303090730776, 0.5299611687660217, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.2511415,"[-2.6201112906085413, -2.910013500844137, -0.0799482504474085, -2.93303090730776, 0.5299611687660217, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.2670841,"[-2.620075527821676, -2.9100378195392054, -0.0799482504474085, -2.93305474916567, 0.5299375653266907, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.2833104,"[-2.620075527821676, -2.910013500844137, -0.07997256914247686, -2.933042828236715, 0.5299731492996216, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.2993088,"[-2.6201234499560755, -2.9100497404681605, -0.07993632951845342, -2.933018986378805, 0.5299491882324219, 1.1699857711791992]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.3150694,"[-2.620075527821676, -2.910025421773092, -0.07993632951845342, -2.933042828236715, 0.5299851298332214, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.3311412,"[-2.6200993696795862, -2.910013500844137, -0.07996064821352178, -2.93303090730776, 0.5299851298332214, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.3472536,"[-2.6201234499560755, -2.910025421773092, -0.07993632951845342, -2.93303090730776, 0.5299731492996216, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.3632643,"[-2.620075527821676, -2.910025421773092, -0.07996064821352178, -2.9330666700946253, 0.5299971103668213, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.3793347,"[-2.6200993696795862, -2.910001579915182, -0.07997256914247686, -2.93305474916567, 0.5299491882324219, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.3950763,"[-2.620075527821676, -2.9100497404681605, -0.07998449007143194, -2.93303090730776, 0.5299851298332214, 1.1699259281158447]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.410819,"[-2.620087448750631, -2.909989658986227, -0.07997256914247686, -2.933042828236715, 0.5299731492996216, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.4267495,"[-2.620087448750631, -2.9100497404681605, -0.0799482504474085, -2.933018986378805, 0.5300090909004211, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.442426,"[-2.6200993696795862, -2.910013500844137, -0.07998449007143194, -2.933042828236715, 0.5299491882324219, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.458283,"[-2.620087448750631, -2.910013500844137, -0.07996064821352178, -2.93305474916567, 0.5299611687660217, 1.169901967048645]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.4742444,"[-2.620087448750631, -2.910025421773092, -0.07996064821352178, -2.9330666700946253, 0.5299851298332214, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.4899504,"[-2.6201112906085413, -2.910001579915182, -0.07996064821352178, -2.933042828236715, 0.5299731492996216, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.5058007,"[-2.6201112906085413, -2.910013500844137, -0.07996064821352178, -2.93305474916567, 0.5299491882324219, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.5217896,"[-2.6200993696795862, -2.910013500844137, -0.07993632951845342, -2.93303090730776, 0.5299375653266907, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.5374324,"[-2.6201234499560755, -2.909977738057272, -0.07993632951845342, -2.93303090730776, 0.5299491882324219, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.5533478,"[-2.620075527821676, -2.910001579915182, -0.08000833192934209, -2.933042828236715, 0.5299971103668213, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.5692563,"[-2.6200993696795862, -2.910025421773092, -0.07997256914247686, -2.93303090730776, 0.5299731492996216, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
